id,titulo,precio_usd,dormitorios,banos,m2,m2_construidos,zona,latitud,longitud,anio_construccion,antiguedad_anos,es_proyecto,estado,link,imagen
190924961,Apartamento en la brava,240000.0,2.0,2.0,70.0,64.0,Playa Brava,-34.9523464,-54.9324148,,,False,1,https://www.infocasas.com.uy/apartamento-en-la-brava/190924961,https://cdn1.infocasas.com.uy/web/66179031ae26c_infocdn.jpg
191039871,Gran oportunidad de inversion! Primera linea MANSA,291742.0,2.0,2.0,122.0,146.0,Playa Mansa,-34.90858103407482,-55.013023664550765,2022.0,,False,1,https://www.infocasas.com.uy/gran-oportunidad-de-inversion-primera-linea-mansa/191039871,https://cdn1.infocasas.com.uy/repo/img/694874_DMC-8638-TRA_256.jpg
190925620,Venta apartamento tres dormitorios en suite Playa Brava primera linea Punta del Este,770000.0,3.0,3.0,200.0,172.0,Playa Brava,-34.9504996,-54.9289033,,,False,1,https://www.infocasas.com.uy/venta-apartamento-tres-dormitorios-en-suite-playa-brava-primera-linea-punta-del-este/190925620,https://cdn1.infocasas.com.uy/web/66179994e5195_infocdn.jpg
191000477,Departamento - San Rafael,340000.0,2.0,2.0,115.0,81.0,San Rafael,-34.9329488585,-54.922542572,,,False,1,https://www.infocasas.com.uy/departamento-san-rafael/191000477,https://cdn1.infocasas.com.uy/web/664775369804e_infocdn.jpg
190925256,Apartamento 3 dormitorios Playa Brava Rincon del Indio  Punta del Este,480000.0,3.0,3.0,140.0,112.0,Rincón del Indio,-34.9225373,-54.879707,,,False,1,https://www.infocasas.com.uy/apartamento-3-dormitorios-playa-brava-rincon-del-indio-punta-del-este/190925256,https://cdn1.infocasas.com.uy/web/6664001f2db18_infocdn.jpg
191000637,Departamento - Playa Brava,270000.0,2.0,2.0,80.0,74.0,Playa Brava,-34.949407,-54.9299011,,,False,1,https://www.infocasas.com.uy/departamento-playa-brava/191000637,https://cdn1.infocasas.com.uy/web/66477d45ebfcd_infocdn.jpg
190932884,Apartamento - Playa Mansa,145000.0,1.0,1.0,40.0,40.0,Playa Mansa,-34.9405904749,-54.9467220204,,,False,1,https://www.infocasas.com.uy/apartamento-playa-mansa/190932884,https://cdn1.infocasas.com.uy/web/660aaf014136d_infocdn.jpg
190959760,Parada 7 de la Mansa a mts. de la playa,210000.0,1.0,1.0,55.0,0.0,Playa Mansa,-34.9360588,-54.9378104,,,False,1,https://www.infocasas.com.uy/parada-7-de-la-mansa-a-mts-de-la-playa/190959760,https://cdn1.infocasas.com.uy/web/661d19a587df8_infocdn.jpg
192087139,VENTA APARTAMENTO 2 DORMITORIOS - VERAMANSA,495000.0,2.0,2.0,109.0,133.0,Playa Mansa,0,0,,,False,1,https://www.infocasas.com.uy/venta-apartamento-2-dormitorios-veramansa/192087139,https://cdn1.infocasas.com.uy/repo/img/132785_RSP-13344-TRA_392.jpg
191981707,SeaGarden de 1 dormitorio en venta,169000.0,1.0,1.0,52.0,52.0,Roosevelt,-34.92743374497072,-54.94644050796507,,,False,1,https://www.infocasas.com.uy/seagarden-de-1-dormitorio-en-venta/191981707,https://cdn1.infocasas.com.uy/repo/img/175322336_PGO-1693-TRA_404.jpg
